company_id,company
1,Chicago Independents
2,City Service
3,Sun Taxi
4,Taxi Affiliation Services
5,Flash Cab
6,5 Star Taxi
7,Globe Taxi
8,Blue Ribbon Taxi Association
9,Taxicab Insurance Agency Llc
10,Top Cab
11,Medallion Leasin
12,Star North Taxi Management Llc
13,Choice Taxi Association
14,Choice Taxi Association Inc
15,312 Medallion Management Corp
16,"Taxicab Insurance Agency, LLC"
17,Patriot Taxi Dba Peace Taxi Associat
18,Chicago City Taxi Association
19,Taxi Affiliation Services Llc - Yell
20,U Taxicab
21,Setare Inc
22,Koam Taxi Association
23,Chicago Taxicab
24,4053 - 40193 Adwar H. Nikola
25,Petani Cab Corp
26,6574 - Babylon Express Inc.
27,5167 - 71969 5167 Taxi Inc
28,Metro Jet Taxi A.
29,3591 - 63480 Chuks Cab
30,3556 - 36214 RC Andrews Cab
31,2733 - 74600 Benny Jona
